,Day,Ratios:T-P-N
0,1,"[1216.0, 0.5361842105263158, 0.46381578947368424]"
1,2,"[921.0, 0.5722041259500543, 0.42779587404994573]"
2,3,"[1942.0, 0.5025746652935118, 0.49742533470648814]"
3,4,"[1291.0, 0.5143299767621998, 0.4856700232378002]"
4,5,"[1333.0, 0.5468867216804201, 0.45311327831957987]"
5,6,"[1660.0, 0.6, 0.4]"
6,7,"[1231.0, 0.5824532900081235, 0.41754670999187654]"
7,8,"[1235.0, 0.5684210526315789, 0.43157894736842106]"
8,9,"[1161.0, 0.5719207579672696, 0.4280792420327304]"
9,10,"[966.0, 0.5424430641821946, 0.4575569358178054]"
10,11,"[1080.0, 0.5435185185185185, 0.4564814814814815]"
11,12,"[1115.0, 0.57847533632287, 0.42152466367713004]"
12,13,"[1194.0, 0.5954773869346733, 0.4045226130653266]"
13,14,"[1262.0, 0.526148969889065, 0.47385103011093505]"
14,15,"[2167.0, 0.5316105214582372, 0.4683894785417628]"
15,16,"[1624.0, 0.5221674876847291, 0.47783251231527096]"
16,17,"[186.0, 0.5752688172043011, 0.42473118279569894]"
17,18,"[1860.0, 0.5231182795698924, 0.4768817204301075]"
18,19,"[497.0, 0.5975855130784709, 0.4024144869215292]"
19,20,"[1658.0, 0.5820265379975874, 0.41797346200241253]"
20,21,"[1366.0, 0.5783308931185944, 0.4216691068814056]"
21,22,"[889.0, 0.592800899887514, 0.40719910011248595]"
22,23,"[485.0, 0.5402061855670103, 0.45979381443298967]"
23,24,"[1458.0, 0.5637860082304527, 0.43621399176954734]"
24,25,"[1986.0, 0.5684793554884189, 0.43152064451158106]"
25,26,"[2321.0, 0.5402843601895735, 0.4597156398104265]"
26,27,"[2562.0, 0.6042154566744731, 0.3957845433255269]"
27,28,"[1598.0, 0.6082603254067585, 0.39173967459324155]"
