,Day,Ratios:T-P-N
0,1,"[125.0, 0.544, 0.456]"
1,2,"[1976.0, 0.5394736842105263, 0.4605263157894737]"
2,3,"[2736.0, 0.5625, 0.4375]"
3,4,"[2684.0, 0.5573770491803278, 0.4426229508196721]"
4,5,"[1, 0, 0]"
5,6,"[1911.0, 0.5803244374672946, 0.4196755625327054]"
6,7,"[1581.0, 0.519291587602783, 0.48070841239721696]"
7,8,"[1648.0, 0.5849514563106796, 0.41504854368932037]"
8,9,"[1664.0, 0.5486778846153846, 0.45132211538461536]"
9,10,"[1844.0, 0.559652928416486, 0.4403470715835141]"
10,11,"[1942.0, 0.5715756951596292, 0.42842430484037075]"
11,12,"[1480.0, 0.5513513513513514, 0.4486486486486487]"
12,13,"[653.0, 0.5405819295558959, 0.45941807044410415]"
13,14,"[1935.0, 0.5028423772609819, 0.4971576227390181]"
14,15,"[2044.0, 0.49755381604696675, 0.5024461839530333]"
15,16,"[3060.0, 0.6313725490196078, 0.3686274509803922]"
16,17,"[2238.0, 0.5241286863270778, 0.47587131367292224]"
17,18,"[1826.0, 0.547645125958379, 0.452354874041621]"
18,19,"[2145.0, 0.39487179487179486, 0.6051282051282051]"
19,20,"[3074.0, 0.41151594014313597, 0.588484059856864]"
20,21,"[29.0, 0.5517241379310345, 0.4482758620689655]"
21,22,"[1744.0, 0.5493119266055045, 0.4506880733944954]"
22,23,"[2172.0, 0.6012891344383057, 0.39871086556169427]"
23,24,"[2044.0, 0.4799412915851272, 0.5200587084148728]"
24,25,"[2704.0, 0.5702662721893491, 0.4297337278106509]"
25,26,"[3760.0, 0.5117021276595745, 0.48829787234042554]"
26,27,"[2648.0, 0.5592900302114804, 0.4407099697885196]"
27,28,"[64.0, 0.65625, 0.34375]"
28,29,"[1392.0, 0.5316091954022989, 0.46839080459770116]"
29,30,"[1472.0, 0.483695652173913, 0.5163043478260869]"
30,31,"[774.0, 0.5671834625322998, 0.43281653746770027]"
