,Day,Ratios:T-P-N
0,1,"[341.0, 0.3460410557184751, 0.6539589442815249]"
1,2,"[1518.0, 0.33069828722002637, 0.6693017127799736]"
2,3,"[87.0, 0.3218390804597701, 0.6781609195402298]"
3,4,"[589.0, 0.3616298811544992, 0.6383701188455009]"
4,5,"[411.0, 0.3333333333333333, 0.6666666666666666]"
5,6,"[1257.0, 0.32856006364359586, 0.6714399363564041]"
6,7,"[9.0, 0.0, 1.0]"
7,8,"[644.0, 0.2717391304347826, 0.7282608695652174]"
8,9,"[848.0, 0.31721698113207547, 0.6827830188679245]"
9,10,"[696.0, 0.3390804597701149, 0.6609195402298851]"
10,11,"[544.0, 0.2757352941176471, 0.7242647058823529]"
11,12,"[95.0, 0.28421052631578947, 0.7157894736842105]"
12,13,"[446.0, 0.3071748878923767, 0.6928251121076233]"
13,14,"[1, 0.0, 0.0]"
14,15,"[472.0, 0.3029661016949153, 0.6970338983050848]"
15,16,"[583.0, 0.33276157804459694, 0.6672384219554031]"
16,17,"[200.0, 0.31, 0.69]"
17,18,"[415.0, 0.3373493975903614, 0.6626506024096386]"
18,19,"[210.0, 0.28095238095238095, 0.719047619047619]"
19,20,"[495.0, 0.298989898989899, 0.701010101010101]"
20,21,"[332.0, 0.33433734939759036, 0.6656626506024096]"
21,22,"[441.0, 0.3129251700680272, 0.6870748299319728]"
22,23,"[1232.0, 0.36363636363636365, 0.6363636363636364]"
23,24,"[189.0, 0.3492063492063492, 0.6507936507936508]"
24,25,"[270.0, 0.3296296296296296, 0.6703703703703704]"
25,26,"[1062.0, 0.3606403013182674, 0.6393596986817326]"
26,27,"[1024.0, 0.3056640625, 0.6943359375]"
27,28,"[423.0, 0.2860520094562648, 0.7139479905437353]"
