,Day,Ratios:T-P-N
0,1,"[12.0, 0.25, 0.75]"
1,2,"[513.0, 0.3157894736842105, 0.6842105263157895]"
2,3,"[72.0, 0.2777777777777778, 0.7222222222222222]"
3,4,"[12.0, 0.4166666666666667, 0.5833333333333334]"
4,5,"[716.0, 0.30446927374301674, 0.6955307262569832]"
5,6,"[488.0, 0.33401639344262296, 0.6659836065573771]"
6,7,"[172.0, 0.28488372093023256, 0.7151162790697675]"
7,8,"[301.0, 0.33554817275747506, 0.6644518272425249]"
8,9,"[7.0, 0.42857142857142855, 0.5714285714285714]"
9,10,"[951.0, 0.3196635120925342, 0.6803364879074658]"
10,11,"[306.0, 0.2973856209150327, 0.7026143790849673]"
11,12,"[49.0, 0.3469387755102041, 0.6530612244897959]"
12,13,"[31.0, 0.16129032258064516, 0.8387096774193549]"
13,14,"[577.0, 0.30155979202772965, 0.6984402079722704]"
14,15,"[164.0, 0.2804878048780488, 0.7195121951219512]"
15,16,"[735.0, 0.3129251700680272, 0.6870748299319728]"
16,17,"[90.0, 0.2777777777777778, 0.7222222222222222]"
17,18,"[20.0, 0.45, 0.55]"
18,19,"[106.0, 0.3490566037735849, 0.6509433962264151]"
19,20,"[422.0, 0.3293838862559242, 0.6706161137440758]"
20,21,"[180.0, 0.3111111111111111, 0.6888888888888889]"
21,22,"[263.0, 0.311787072243346, 0.688212927756654]"
22,23,"[614.0, 0.33713355048859933, 0.6628664495114006]"
23,24,"[63.0, 0.31746031746031744, 0.6825396825396826]"
24,25,"[472.0, 0.3813559322033898, 0.6186440677966102]"
25,26,"[43.0, 0.27906976744186046, 0.7209302325581395]"
26,27,"[469.0, 0.3283582089552239, 0.6716417910447762]"
27,28,"[2.0, 0.5, 0.5]"
28,29,"[498.0, 0.321285140562249, 0.678714859437751]"
29,30,"[542.0, 0.3284132841328413, 0.6715867158671587]"
30,31,"[327.0, 0.2966360856269113, 0.7033639143730887]"
