,Day,Ratios
0,1,"[1155.0, 0.5601731601731602, 0.43982683982683984]"
1,2,"[1414.0, 0.5742574257425742, 0.42574257425742573]"
2,3,"[2504.0, 0.6357827476038339, 0.36421725239616615]"
3,4,"[3425.0, 0.5483211678832117, 0.45167883211678833]"
4,5,"[1506.0, 0.5889774236387783, 0.4110225763612218]"
5,6,"[1411.0, 0.4939759036144578, 0.5060240963855421]"
6,7,"[892.0, 0.5762331838565022, 0.42376681614349776]"
7,8,"[846.0, 0.5874704491725768, 0.41252955082742315]"
8,9,"[1168.0, 0.5462328767123288, 0.4537671232876712]"
9,10,"[1436.0, 0.541782729805014, 0.4582172701949861]"
10,11,"[1619.0, 0.541692402717727, 0.458307597282273]"
11,12,"[1005.0, 0.5592039800995025, 0.4407960199004975]"
12,13,"[946.0, 0.5348837209302325, 0.46511627906976744]"
13,14,"[768.0, 0.5794270833333334, 0.4205729166666667]"
14,15,"[1523.0, 0.7426132632961261, 0.2573867367038739]"
15,16,"[1279.0, 0.5379202501954652, 0.4620797498045348]"
16,17,"[130.0, 0.46923076923076923, 0.5307692307692308]"
17,18,"[1263.0, 0.5439429928741093, 0.45605700712589076]"
18,19,"[968.0, 0.5371900826446281, 0.4628099173553719]"
19,20,"[1090.0, 0.5165137614678899, 0.4834862385321101]"
20,21,"[902.0, 0.5787139689578714, 0.4212860310421286]"
21,22,"[189.0, 0.5343915343915344, 0.4656084656084656]"
22,23,"[1123.0, 0.5565449688334817, 0.44345503116651824]"
23,24,"[64.0, 0.515625, 0.484375]"
24,25,"[996.0, 0.5542168674698795, 0.4457831325301205]"
25,26,"[939.0, 0.5623003194888179, 0.43769968051118213]"
26,27,"[919.0, 0.528835690968444, 0.47116430903155604]"
27,28,"[664.0, 0.5316265060240963, 0.4683734939759036]"
28,29,"[902.0, 0.5509977827050998, 0.4490022172949002]"
29,30,"[847.0, 0.4793388429752066, 0.5206611570247934]"
30,31,"[887.0, 0.5343855693348365, 0.46561443066516345]"
