,Day,Ratios:T-P-N
0,1,"[1340.0, 0.564179104477612, 0.43582089552238806]"
1,2,"[1413.0, 0.5739561217268223, 0.42604387827317763]"
2,3,"[2502.0, 0.6354916067146283, 0.3645083932853717]"
3,4,"[3424.0, 0.5487733644859814, 0.4512266355140187]"
4,5,"[1505.0, 0.5893687707641196, 0.4106312292358804]"
5,6,"[1411.0, 0.4939759036144578, 0.5060240963855421]"
6,7,"[893.0, 0.5755879059350504, 0.4244120940649496]"
7,8,"[847.0, 0.5867768595041323, 0.4132231404958678]"
8,9,"[1168.0, 0.5462328767123288, 0.4537671232876712]"
9,10,"[1435.0, 0.5421602787456447, 0.4578397212543554]"
10,11,"[1046.0, 0.5430210325047801, 0.4569789674952199]"
11,12,"[1003.0, 0.5603190428713859, 0.43968095712861416]"
12,13,"[946.0, 0.5348837209302325, 0.46511627906976744]"
13,14,"[767.0, 0.5788787483702738, 0.4211212516297262]"
14,15,"[1523.0, 0.7426132632961261, 0.2573867367038739]"
15,16,"[1279.0, 0.5379202501954652, 0.4620797498045348]"
16,17,"[835.0, 0.5221556886227545, 0.47784431137724553]"
17,18,"[1264.0, 0.5435126582278481, 0.4564873417721519]"
18,19,"[968.0, 0.5371900826446281, 0.4628099173553719]"
19,20,"[1089.0, 0.5160697887970616, 0.4839302112029385]"
20,21,"[902.0, 0.5787139689578714, 0.4212860310421286]"
21,22,"[189.0, 0.5343915343915344, 0.4656084656084656]"
22,23,"[1123.0, 0.5565449688334817, 0.44345503116651824]"
23,24,"[1182.0, 0.5592216582064298, 0.4407783417935702]"
24,25,"[996.0, 0.5542168674698795, 0.4457831325301205]"
25,26,"[939.0, 0.5623003194888179, 0.43769968051118213]"
26,27,"[919.0, 0.528835690968444, 0.47116430903155604]"
27,28,"[663.0, 0.5324283559577677, 0.4675716440422323]"
28,29,"[903.0, 0.5514950166112956, 0.4485049833887043]"
29,30,"[847.0, 0.4793388429752066, 0.5206611570247934]"
30,31,"[887.0, 0.5343855693348365, 0.46561443066516345]"
