,Day,Ratios:T-P-N
0,1,"[702.0, 0.31339031339031337, 0.6866096866096866]"
1,2,"[763.0, 0.3145478374836173, 0.6854521625163827]"
2,3,"[194.0, 0.3402061855670103, 0.6597938144329897]"
3,4,"[1106.0, 0.28933092224231466, 0.7106690777576854]"
4,5,"[521.0, 0.30902111324376197, 0.690978886756238]"
5,6,"[106.0, 0.22641509433962265, 0.7735849056603774]"
6,7,"[807.0, 0.3097893432465923, 0.6902106567534076]"
7,8,"[30.0, 0.23333333333333334, 0.7666666666666667]"
8,9,"[220.0, 0.32727272727272727, 0.6727272727272727]"
9,10,"[163.0, 0.3619631901840491, 0.6380368098159509]"
10,11,"[791.0, 0.3147914032869785, 0.6852085967130215]"
11,12,"[241.0, 0.33195020746887965, 0.6680497925311203]"
12,13,"[194.0, 0.30412371134020616, 0.6958762886597938]"
13,14,"[730.0, 0.3178082191780822, 0.6821917808219178]"
14,15,"[279.0, 0.32616487455197135, 0.6738351254480287]"
15,16,"[520.0, 0.3096153846153846, 0.6903846153846154]"
16,17,"[788.0, 0.28553299492385786, 0.7144670050761421]"
17,18,"[391.0, 0.32225063938618925, 0.6777493606138107]"
18,19,"[1126.0, 0.24422735346358793, 0.7557726465364121]"
19,20,"[312.0, 0.3333333333333333, 0.6666666666666666]"
20,21,"[116.0, 0.31896551724137934, 0.6810344827586207]"
21,22,"[252.0, 0.2976190476190476, 0.7023809523809523]"
22,23,"[101.0, 0.33663366336633666, 0.6633663366336634]"
23,24,"[104.0, 0.3269230769230769, 0.6730769230769231]"
24,25,"[159.0, 0.3018867924528302, 0.6981132075471698]"
25,26,"[19.0, 0.3684210526315789, 0.631578947368421]"
26,27,"[508.0, 0.27165354330708663, 0.7283464566929134]"
27,28,"[1252.0, 0.3170926517571885, 0.6829073482428115]"
28,29,"[74.0, 0.28378378378378377, 0.7162162162162162]"
