,Day,Ratios:T-P-N
0,1,"[91.0, 0.25274725274725274, 0.7472527472527473]"
1,2,"[522.0, 0.32567049808429116, 0.6743295019157088]"
2,3,"[841.0, 0.3162901307966706, 0.6837098692033293]"
3,4,"[92.0, 0.32608695652173914, 0.6739130434782609]"
4,5,"[146.0, 0.2945205479452055, 0.7054794520547946]"
5,6,"[1233.0, 0.2384428223844282, 0.7615571776155717]"
6,7,"[338.0, 0.33136094674556216, 0.6686390532544378]"
7,8,"[416.0, 0.3942307692307692, 0.6057692307692307]"
8,9,"[950.0, 0.30842105263157893, 0.6915789473684211]"
9,10,"[48.0, 0.3333333333333333, 0.6666666666666666]"
10,11,"[939.0, 0.31309904153354634, 0.6869009584664537]"
11,12,"[155.0, 0.2838709677419355, 0.7161290322580646]"
12,13,"[138.0, 0.3115942028985507, 0.6884057971014492]"
13,14,"[221.0, 0.3031674208144796, 0.6968325791855203]"
14,15,"[1133.0, 0.3089143865842895, 0.6910856134157105]"
15,16,"[742.0, 0.3045822102425876, 0.6954177897574124]"
16,17,"[197.0, 0.3147208121827411, 0.6852791878172588]"
17,18,"[9.0, 0.3333333333333333, 0.6666666666666666]"
18,19,"[2492.0, 0.32504012841091495, 0.6749598715890851]"
19,20,"[652.0, 0.3098159509202454, 0.6901840490797546]"
20,21,"[2226.0, 0.32030548068283915, 0.6796945193171609]"
21,22,"[985.0, 0.2954314720812183, 0.7045685279187818]"
22,23,"[75.0, 0.30666666666666664, 0.6933333333333334]"
23,24,"[3.0, 0.0, 1.0]"
24,25,"[172.0, 0.2616279069767442, 0.7383720930232558]"
25,26,"[958.0, 0.32045929018789143, 0.6795407098121086]"
26,27,"[1135.0, 0.31541850220264317, 0.6845814977973568]"
27,28,"[1150.0, 0.288695652173913, 0.711304347826087]"
28,29,"[2285.0, 0.31028446389496717, 0.6897155361050328]"
29,30,"[228.0, 0.30701754385964913, 0.6929824561403509]"
30,31,"[232.0, 0.34051724137931033, 0.6594827586206896]"
