,Day,Ratios:T-P-N
0,1,"[627.0, 0.405103668261563, 0.594896331738437]"
1,2,"[756.0, 0.421957671957672, 0.578042328042328]"
2,3,"[827.0, 0.4268440145102781, 0.5731559854897219]"
3,4,"[139.0, 0.4244604316546763, 0.5755395683453237]"
4,5,"[133.0, 0.39097744360902253, 0.6090225563909775]"
5,6,"[355.0, 0.3211267605633803, 0.6788732394366197]"
6,7,"[315.0, 0.3904761904761905, 0.6095238095238096]"
7,8,"[651.0, 0.3763440860215054, 0.6236559139784946]"
8,9,"[810.0, 0.3950617283950617, 0.6049382716049383]"
9,10,"[933.0, 0.3558413719185423, 0.6441586280814576]"
10,11,"[216.0, 0.36574074074074076, 0.6342592592592593]"
11,12,"[196.0, 0.37755102040816324, 0.6224489795918368]"
12,13,"[833.0, 0.38535414165666265, 0.6146458583433373]"
13,14,"[647.0, 0.3616692426584235, 0.6383307573415765]"
14,15,"[653.0, 0.4211332312404288, 0.5788667687595712]"
15,16,"[853.0, 0.41031652989449, 0.5896834701055099]"
16,17,"[589.0, 0.3735144312393888, 0.6264855687606112]"
17,18,"[60.0, 0.4, 0.6]"
18,19,"[944.0, 0.3930084745762712, 0.6069915254237288]"
19,20,"[655.0, 0.4122137404580153, 0.5877862595419847]"
20,21,"[622.0, 0.4340836012861736, 0.5659163987138264]"
21,22,"[486.0, 0.411522633744856, 0.588477366255144]"
22,23,"[859.0, 0.36554132712456344, 0.6344586728754366]"
23,24,"[964.0, 0.43257261410788383, 0.5674273858921162]"
24,25,"[846.0, 0.3877068557919622, 0.6122931442080378]"
25,26,"[745.0, 0.4590604026845638, 0.5409395973154363]"
26,27,"[341.0, 0.34310850439882695, 0.656891495601173]"
27,28,"[804.0, 0.40298507462686567, 0.5970149253731343]"
28,29,"[315.0, 0.39365079365079364, 0.6063492063492063]"
29,30,"[884.0, 0.38235294117647056, 0.6176470588235294]"
30,31,"[263.0, 0.3840304182509506, 0.6159695817490495]"
