,Day,Totals,Positives,Negatives
0,1,933.0,0.3536977491961415,0.6463022508038585
1,2,723.0,0.3153526970954357,0.6846473029045643
2,3,675.0,0.3585185185185185,0.6414814814814814
3,4,778.0,0.3341902313624679,0.6658097686375322
4,5,698.0,0.336676217765043,0.663323782234957
5,6,4.0,0.5,0.5
6,7,174.0,0.28160919540229884,0.7183908045977011
7,8,84.0,0.2619047619047619,0.7380952380952381
8,9,301.0,0.3388704318936877,0.6611295681063123
9,10,238.0,0.33613445378151263,0.6638655462184874
10,11,801.0,0.2933832709113608,0.7066167290886392
11,12,144.0,0.3402777777777778,0.6597222222222222
12,13,285.0,0.3298245614035088,0.6701754385964912
13,14,637.0,0.35478806907378335,0.6452119309262166
14,15,998.0,0.5470941883767535,0.4529058116232465
15,16,841.0,0.3460166468489893,0.6539833531510107
16,17,399.0,0.3283208020050125,0.6716791979949874
17,18,18.0,0.3333333333333333,0.6666666666666666
18,19,113.0,0.26548672566371684,0.7345132743362832
19,20,170.0,0.3176470588235294,0.6823529411764706
20,21,216.0,0.4166666666666667,0.5833333333333334
21,22,351.0,0.33903133903133903,0.6609686609686609
22,23,1.0,0.0,0.0
23,24,333.0,0.3033033033033033,0.6966966966966966
24,25,28.0,0.4642857142857143,0.5357142857142857
25,26,81.0,0.2716049382716049,0.7283950617283951
26,27,500.0,0.318,0.682
