,Day,Ratios
0,1,"[1095.0, 0.6776255707762557, 0.3223744292237443]"
1,2,"[1298.0, 0.5439137134052389, 0.4560862865947612]"
2,3,"[1554.0, 0.5193050193050193, 0.4806949806949807]"
3,4,"[1169.0, 0.561163387510693, 0.4388366124893071]"
4,5,"[1805.0, 0.48310249307479225, 0.5168975069252078]"
5,6,"[1651.0, 0.5142337976983646, 0.48576620230163536]"
6,7,"[2004.0, 0.5369261477045908, 0.4630738522954092]"
7,8,"[1589.0, 0.5802391441157961, 0.4197608558842039]"
8,9,"[1180.0, 0.559322033898305, 0.4406779661016949]"
9,10,"[1146.0, 0.5767888307155323, 0.4232111692844677]"
10,11,"[1307.0, 0.6205049732211171, 0.3794950267788829]"
11,12,"[969.0, 0.5933952528379773, 0.4066047471620227]"
12,13,"[1278.0, 0.6158059467918623, 0.3841940532081377]"
13,14,"[1504.0, 0.5372340425531915, 0.4627659574468085]"
14,15,"[1606.0, 0.5803237858032378, 0.41967621419676215]"
