,Day,Ratios
0,1,"[2271.0, 0.5011008366358433, 0.49889916336415674]"
1,2,"[3026.0, 0.46926635822868473, 0.5307336417713153]"
2,3,"[5739.0, 0.47952604983446595, 0.5204739501655341]"
3,4,"[4823.0, 0.5065312046444121, 0.4934687953555878]"
4,5,"[5026.0, 0.5565061679267808, 0.44349383207321924]"
5,6,"[383.0, 0.5143603133159269, 0.4856396866840731]"
6,7,"[42037.0, 0.533054214144682, 0.46694578585531793]"
7,8,"[10447.0, 0.4982291566957021, 0.5017708433042979]"
8,9,"[8566.0, 0.4901937893999533, 0.5098062106000467]"
9,10,"[615.0, 0.4878048780487805, 0.5121951219512195]"
10,11,"[6220.0, 0.5012861736334405, 0.4987138263665595]"
11,12,"[6382.0, 0.5092447508617988, 0.4907552491382012]"
12,13,"[3652.0, 0.5221796276013143, 0.47782037239868563]"
13,14,"[2559.0, 0.5338022665103556, 0.4661977334896444]"
14,15,"[2372.0, 0.5215008431703204, 0.4784991568296796]"
